,Measure Name,Score
760,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,7
766,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,4
772,SSI - Colon Surgery: Observed Cases,0
778,SSI - Abdominal Hysterectomy: Observed Cases,0
784,MRSA Bacteremia: Observed Cases,8
790,Clostridium Difficile (C.Diff): Observed Cases,3
796,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
802,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
820,MRSA Bacteremia: Observed Cases,0
826,Clostridium Difficile (C.Diff): Observed Cases,0
832,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
838,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
844,SSI - Colon Surgery: Observed Cases,0
856,MRSA Bacteremia: Observed Cases,0
862,Clostridium Difficile (C.Diff): Observed Cases,1
868,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,3
874,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
880,SSI - Colon Surgery: Observed Cases,0
892,MRSA Bacteremia: Observed Cases,2
898,Clostridium Difficile (C.Diff): Observed Cases,7
904,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,5
910,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
916,SSI - Colon Surgery: Observed Cases,1
922,SSI - Abdominal Hysterectomy: Observed Cases,0
928,MRSA Bacteremia: Observed Cases,1
934,Clostridium Difficile (C.Diff): Observed Cases,1
946,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
964,MRSA Bacteremia: Observed Cases,0
970,Clostridium Difficile (C.Diff): Observed Cases,0
982,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
1000,MRSA Bacteremia: Observed Cases,0
1006,Clostridium Difficile (C.Diff): Observed Cases,0
1012,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,4
1018,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,15
1024,SSI - Colon Surgery: Observed Cases,0
1030,SSI - Abdominal Hysterectomy: Observed Cases,2
1036,MRSA Bacteremia: Observed Cases,4
1042,Clostridium Difficile (C.Diff): Observed Cases,13
1048,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,10
1054,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,15
1060,SSI - Colon Surgery: Observed Cases,4
1066,SSI - Abdominal Hysterectomy: Observed Cases,2
1072,MRSA Bacteremia: Observed Cases,9
1078,Clostridium Difficile (C.Diff): Observed Cases,31
1084,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
1090,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
1108,MRSA Bacteremia: Observed Cases,0
1114,Clostridium Difficile (C.Diff): Observed Cases,0
1120,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
1126,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
1144,MRSA Bacteremia: Observed Cases,0
1150,Clostridium Difficile (C.Diff): Observed Cases,0
1156,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
1162,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,10
1168,SSI - Colon Surgery: Observed Cases,0
1174,SSI - Abdominal Hysterectomy: Observed Cases,0
1180,MRSA Bacteremia: Observed Cases,1
1186,Clostridium Difficile (C.Diff): Observed Cases,4
1192,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
1198,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
1204,SSI - Colon Surgery: Observed Cases,0
1210,SSI - Abdominal Hysterectomy: Observed Cases,0
1216,MRSA Bacteremia: Observed Cases,0
1222,Clostridium Difficile (C.Diff): Observed Cases,0
1228,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,3
1234,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
1240,SSI - Colon Surgery: Observed Cases,0
1246,SSI - Abdominal Hysterectomy: Observed Cases,0
1252,MRSA Bacteremia: Observed Cases,1
1258,Clostridium Difficile (C.Diff): Observed Cases,6
1264,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
1270,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
1288,MRSA Bacteremia: Observed Cases,0
1294,Clostridium Difficile (C.Diff): Observed Cases,0
1300,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
1306,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
1324,MRSA Bacteremia: Observed Cases,0
1330,Clostridium Difficile (C.Diff): Observed Cases,0
1336,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
1342,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,4
1348,SSI - Colon Surgery: Observed Cases,0
1354,SSI - Abdominal Hysterectomy: Observed Cases,1
1360,MRSA Bacteremia: Observed Cases,5
1366,Clostridium Difficile (C.Diff): Observed Cases,33
1372,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
1378,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
1384,SSI - Colon Surgery: Observed Cases,0
1390,SSI - Abdominal Hysterectomy: Observed Cases,0
1396,MRSA Bacteremia: Observed Cases,1
1402,Clostridium Difficile (C.Diff): Observed Cases,1
1408,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
1414,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,3
1420,SSI - Colon Surgery: Observed Cases,0
1426,SSI - Abdominal Hysterectomy: Observed Cases,0
1432,MRSA Bacteremia: Observed Cases,2
1438,Clostridium Difficile (C.Diff): Observed Cases,3
1444,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
1450,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,2
1456,SSI - Colon Surgery: Observed Cases,1
1462,SSI - Abdominal Hysterectomy: Observed Cases,0
1468,MRSA Bacteremia: Observed Cases,1
1474,Clostridium Difficile (C.Diff): Observed Cases,4
1480,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
1486,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
1492,SSI - Colon Surgery: Observed Cases,0
1498,SSI - Abdominal Hysterectomy: Observed Cases,0
1504,MRSA Bacteremia: Observed Cases,1
1510,Clostridium Difficile (C.Diff): Observed Cases,0
1516,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,23
1522,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,6
1528,SSI - Colon Surgery: Observed Cases,1
1534,SSI - Abdominal Hysterectomy: Observed Cases,0
1540,MRSA Bacteremia: Observed Cases,14
1546,Clostridium Difficile (C.Diff): Observed Cases,23
1552,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
1558,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,4
1564,SSI - Colon Surgery: Observed Cases,1
1570,SSI - Abdominal Hysterectomy: Observed Cases,0
1576,MRSA Bacteremia: Observed Cases,6
1582,Clostridium Difficile (C.Diff): Observed Cases,6
1588,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,4
1594,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,7
1600,SSI - Colon Surgery: Observed Cases,1
1606,SSI - Abdominal Hysterectomy: Observed Cases,0
1612,MRSA Bacteremia: Observed Cases,5
1618,Clostridium Difficile (C.Diff): Observed Cases,27
1624,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
1630,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
1642,SSI - Abdominal Hysterectomy: Observed Cases,0
1648,MRSA Bacteremia: Observed Cases,0
1654,Clostridium Difficile (C.Diff): Observed Cases,0
1660,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,38
1666,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,14
1672,SSI - Colon Surgery: Observed Cases,4
1678,SSI - Abdominal Hysterectomy: Observed Cases,5
1684,MRSA Bacteremia: Observed Cases,14
1690,Clostridium Difficile (C.Diff): Observed Cases,40
1702,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
1720,MRSA Bacteremia: Observed Cases,0
1726,Clostridium Difficile (C.Diff): Observed Cases,1
1756,MRSA Bacteremia: Observed Cases,0
1762,Clostridium Difficile (C.Diff): Observed Cases,0
1768,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
1774,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
1780,SSI - Colon Surgery: Observed Cases,1
1786,SSI - Abdominal Hysterectomy: Observed Cases,0
1792,MRSA Bacteremia: Observed Cases,0
1798,Clostridium Difficile (C.Diff): Observed Cases,1
1804,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,8
1810,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,11
1816,SSI - Colon Surgery: Observed Cases,6
1822,SSI - Abdominal Hysterectomy: Observed Cases,2
1828,MRSA Bacteremia: Observed Cases,2
1834,Clostridium Difficile (C.Diff): Observed Cases,5
1840,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
1846,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
1852,SSI - Colon Surgery: Observed Cases,0
1864,MRSA Bacteremia: Observed Cases,0
1870,Clostridium Difficile (C.Diff): Observed Cases,4
1876,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
1882,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
1900,MRSA Bacteremia: Observed Cases,0
1906,Clostridium Difficile (C.Diff): Observed Cases,0
1912,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,6
1918,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,4
1924,SSI - Colon Surgery: Observed Cases,0
1930,SSI - Abdominal Hysterectomy: Observed Cases,1
1936,MRSA Bacteremia: Observed Cases,4
1942,Clostridium Difficile (C.Diff): Observed Cases,6
1948,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,11
1954,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,36
1960,SSI - Colon Surgery: Observed Cases,7
1966,SSI - Abdominal Hysterectomy: Observed Cases,3
1972,MRSA Bacteremia: Observed Cases,9
1978,Clostridium Difficile (C.Diff): Observed Cases,25
1984,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,5
1990,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,2
2008,MRSA Bacteremia: Observed Cases,1
2014,Clostridium Difficile (C.Diff): Observed Cases,10
2026,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2044,MRSA Bacteremia: Observed Cases,0
2050,Clostridium Difficile (C.Diff): Observed Cases,0
2056,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
2062,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
2068,SSI - Colon Surgery: Observed Cases,1
2080,MRSA Bacteremia: Observed Cases,0
2086,Clostridium Difficile (C.Diff): Observed Cases,0
2092,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,12
2098,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,20
2104,SSI - Colon Surgery: Observed Cases,6
2110,SSI - Abdominal Hysterectomy: Observed Cases,2
2116,MRSA Bacteremia: Observed Cases,16
2122,Clostridium Difficile (C.Diff): Observed Cases,25
2128,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,11
2134,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,16
2140,SSI - Colon Surgery: Observed Cases,0
2146,SSI - Abdominal Hysterectomy: Observed Cases,0
2152,MRSA Bacteremia: Observed Cases,8
2158,Clostridium Difficile (C.Diff): Observed Cases,9
2164,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2170,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
2176,SSI - Colon Surgery: Observed Cases,0
2182,SSI - Abdominal Hysterectomy: Observed Cases,0
2188,MRSA Bacteremia: Observed Cases,0
2194,Clostridium Difficile (C.Diff): Observed Cases,2
2200,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2206,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2212,SSI - Colon Surgery: Observed Cases,0
2224,MRSA Bacteremia: Observed Cases,0
2230,Clostridium Difficile (C.Diff): Observed Cases,0
2236,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2242,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2260,MRSA Bacteremia: Observed Cases,0
2266,Clostridium Difficile (C.Diff): Observed Cases,1
2272,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2278,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2284,SSI - Colon Surgery: Observed Cases,0
2296,MRSA Bacteremia: Observed Cases,0
2302,Clostridium Difficile (C.Diff): Observed Cases,0
2308,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2314,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2332,MRSA Bacteremia: Observed Cases,0
2338,Clostridium Difficile (C.Diff): Observed Cases,0
2344,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
2350,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2356,SSI - Colon Surgery: Observed Cases,1
2362,SSI - Abdominal Hysterectomy: Observed Cases,0
2368,MRSA Bacteremia: Observed Cases,0
2374,Clostridium Difficile (C.Diff): Observed Cases,0
2380,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
2386,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
2392,SSI - Colon Surgery: Observed Cases,0
2404,MRSA Bacteremia: Observed Cases,3
2410,Clostridium Difficile (C.Diff): Observed Cases,6
2416,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2422,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,5
2428,SSI - Colon Surgery: Observed Cases,1
2434,SSI - Abdominal Hysterectomy: Observed Cases,4
2440,MRSA Bacteremia: Observed Cases,0
2446,Clostridium Difficile (C.Diff): Observed Cases,16
2476,MRSA Bacteremia: Observed Cases,0
2482,Clostridium Difficile (C.Diff): Observed Cases,0
2488,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,9
2494,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,6
2500,SSI - Colon Surgery: Observed Cases,3
2506,SSI - Abdominal Hysterectomy: Observed Cases,2
2512,MRSA Bacteremia: Observed Cases,7
2518,Clostridium Difficile (C.Diff): Observed Cases,17
2524,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,5
2530,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,2
2536,SSI - Colon Surgery: Observed Cases,2
2542,SSI - Abdominal Hysterectomy: Observed Cases,0
2548,MRSA Bacteremia: Observed Cases,4
2554,Clostridium Difficile (C.Diff): Observed Cases,5
2566,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2584,MRSA Bacteremia: Observed Cases,0
2590,Clostridium Difficile (C.Diff): Observed Cases,0
2596,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,19
2602,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,10
2608,SSI - Colon Surgery: Observed Cases,0
2614,SSI - Abdominal Hysterectomy: Observed Cases,5
2620,MRSA Bacteremia: Observed Cases,6
2626,Clostridium Difficile (C.Diff): Observed Cases,11
2632,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,5
2638,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,6
2668,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2674,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2680,SSI - Colon Surgery: Observed Cases,0
2692,MRSA Bacteremia: Observed Cases,0
2698,Clostridium Difficile (C.Diff): Observed Cases,0
2704,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2710,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2716,SSI - Colon Surgery: Observed Cases,0
2728,MRSA Bacteremia: Observed Cases,0
2734,Clostridium Difficile (C.Diff): Observed Cases,0
2740,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2746,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
2752,SSI - Colon Surgery: Observed Cases,1
2764,MRSA Bacteremia: Observed Cases,0
2770,Clostridium Difficile (C.Diff): Observed Cases,1
2776,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2782,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2788,SSI - Colon Surgery: Observed Cases,0
2794,SSI - Abdominal Hysterectomy: Observed Cases,0
2800,MRSA Bacteremia: Observed Cases,0
2806,Clostridium Difficile (C.Diff): Observed Cases,0
2836,MRSA Bacteremia: Observed Cases,0
2842,Clostridium Difficile (C.Diff): Observed Cases,2
2848,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
2854,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
2860,SSI - Colon Surgery: Observed Cases,0
2872,MRSA Bacteremia: Observed Cases,0
2878,Clostridium Difficile (C.Diff): Observed Cases,0
2884,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2890,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
2896,SSI - Colon Surgery: Observed Cases,0
2908,MRSA Bacteremia: Observed Cases,0
2914,Clostridium Difficile (C.Diff): Observed Cases,0
2920,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2926,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
2944,MRSA Bacteremia: Observed Cases,0
2950,Clostridium Difficile (C.Diff): Observed Cases,0
2956,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2962,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
2980,MRSA Bacteremia: Observed Cases,0
2986,Clostridium Difficile (C.Diff): Observed Cases,0
2992,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
2998,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
3070,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
3100,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
3106,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
3124,MRSA Bacteremia: Observed Cases,0
3130,Clostridium Difficile (C.Diff): Observed Cases,1
3136,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
3142,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
3172,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
3178,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
3196,MRSA Bacteremia: Observed Cases,0
3202,Clostridium Difficile (C.Diff): Observed Cases,3
3208,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
3214,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
3232,MRSA Bacteremia: Observed Cases,0
3238,Clostridium Difficile (C.Diff): Observed Cases,0
3316,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,10
3322,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,8
3328,SSI - Colon Surgery: Observed Cases,5
3334,SSI - Abdominal Hysterectomy: Observed Cases,4
3340,MRSA Bacteremia: Observed Cases,10
3346,Clostridium Difficile (C.Diff): Observed Cases,10
3352,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
3358,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
3364,SSI - Colon Surgery: Observed Cases,0
3370,SSI - Abdominal Hysterectomy: Observed Cases,0
3376,MRSA Bacteremia: Observed Cases,8
3382,Clostridium Difficile (C.Diff): Observed Cases,2
3388,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
3394,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,2
3400,SSI - Colon Surgery: Observed Cases,0
3406,SSI - Abdominal Hysterectomy: Observed Cases,0
3412,MRSA Bacteremia: Observed Cases,0
3418,Clostridium Difficile (C.Diff): Observed Cases,3
3424,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
3430,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,3
3436,SSI - Colon Surgery: Observed Cases,5
3442,SSI - Abdominal Hysterectomy: Observed Cases,0
3448,MRSA Bacteremia: Observed Cases,0
3454,Clostridium Difficile (C.Diff): Observed Cases,2
3460,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,4
3466,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,5
